BTC bought at 29886.74 on 2023-08-01 20:15:31.545015
XTZ sold at 0.84875 on 2023-08-01 20:15:40.406882
BTC bought at 29886.74 on 2023-08-01 20:19:03.265445
BTC bought at 29886.74 on 2023-08-01 20:19:57.520440
AVAX bought at 12.92 on 2023-08-01 20:20:03.609478
BTC bought at 29915.895 on 2023-08-01 20:21:19.875088
SHIB bought at 8.45e-06 on 2023-08-01 20:21:22.022459
AVAX bought at 12.92 on 2023-08-01 20:21:26.352978
BTC bought at 29915.895 on 2023-08-01 20:23:01.065399
SHIB bought at 8.45e-06 on 2023-08-01 20:23:03.061625
AVAX bought at 12.92 on 2023-08-01 20:23:07.336282
BTC bought at 29912.225 on 2023-08-01 20:25:19.858903
DOGE bought at 0.078025 on 2023-08-01 20:25:22.580492
SHIB bought at 8.44e-06 on 2023-08-01 20:25:23.827526
LINK bought at 7.6625 on 2023-08-01 20:25:26.858641
AVAX bought at 12.9135 on 2023-08-01 20:25:28.211069
BTC sold at 29973.43 on 2023-08-01 20:32:07.567527
LINK bought at 7.4425 on 2023-08-02 13:04:16.007826, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
AVAX bought at 12.538 on 2023-08-02 13:04:17.361608, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
XLM bought at 0.14566699 on 2023-08-02 13:04:18.406270, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
BCH bought at 226.32 on 2023-08-02 13:04:19.254775, quantity: 0.002041, purchased usd: 1.0, quantity: 0.002041, worth usd: $0.46191911999999996, buy_points: 1
XTZ bought at 0.8389 on 2023-08-02 13:04:20.117288, quantity: 4.713, purchased usd: 1.0, quantity: 4.713, worth usd: $3.9537357, buy_points: 1
BTC bought at 29119.7 on 2023-08-02 13:15:17.771066, quantity: 3e-05, purchased usd: 1.0, quantity: 3e-05, worth usd: $0.873591, buy_points: 1
ETH bought at 1832.33 on 2023-08-02 13:15:18.763878, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
DOGE bought at 0.074875 on 2023-08-02 13:15:20.466329, quantity: 39.12, purchased usd: 1.0, quantity: 39.12, worth usd: $2.9291099999999997, buy_points: 1
SHIB bought at 8.2e-06 on 2023-08-02 13:15:22.710554, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
ETC bought at 18.1245 on 2023-08-02 13:15:24.607794, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
LTC bought at 87.515 on 2023-08-02 13:15:26.749100, quantity: 0.01, purchased usd: 1.0, quantity: 0.01, worth usd: $0.87515, buy_points: 1
LINK bought at 7.4485 on 2023-08-02 13:15:27.810381, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
COMP bought at 63.293697 on 2023-08-02 13:15:29.326075, quantity: 0.012, purchased usd: 1.0, quantity: 0.012, worth usd: $0.759524364, buy_points: 1
AVAX bought at 12.558 on 2023-08-02 13:15:30.375356, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
XLM bought at 0.14601407 on 2023-08-02 13:15:31.428502, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
BCH bought at 227.085 on 2023-08-02 13:15:32.473798, quantity: 0.002041, purchased usd: 1.0, quantity: 0.002041, worth usd: $0.463480485, buy_points: 1
XTZ bought at 0.83895 on 2023-08-02 13:15:33.763804, quantity: 4.713, purchased usd: 1.0, quantity: 4.713, worth usd: $3.9539713499999998, buy_points: 1
BTC bought at 29079.735 on 2023-08-02 13:26:31.309709, quantity: 3e-05, purchased usd: 1.0, quantity: 3e-05, worth usd: $0.8723920500000001, buy_points: 1
ETH bought at 1830.74 on 2023-08-02 13:26:32.163691, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
DOGE bought at 0.07477 on 2023-08-02 13:26:33.527594, quantity: 39.12, purchased usd: 1.0, quantity: 39.12, worth usd: $2.9250024, buy_points: 1
SHIB bought at 8.185e-06 on 2023-08-02 13:26:34.685279, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
ETC bought at 18.1175 on 2023-08-02 13:26:35.731082, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
LTC bought at 87.67720025 on 2023-08-02 13:26:37.649994, quantity: 0.01, purchased usd: 1.0, quantity: 0.01, worth usd: $0.8767720025, buy_points: 1
LINK bought at 7.4257604 on 2023-08-02 13:26:38.572680, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
COMP bought at 63.023724 on 2023-08-02 13:26:39.379670, quantity: 0.012, purchased usd: 1.0, quantity: 0.012, worth usd: $0.756284688, buy_points: 1
AVAX bought at 12.5265 on 2023-08-02 13:26:40.374601, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
XLM bought at 0.146033665 on 2023-08-02 13:26:41.433421, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
BCH bought at 226.945 on 2023-08-02 13:26:42.424589, quantity: 0.002041, purchased usd: 1.0, quantity: 0.002041, worth usd: $0.46319474499999996, buy_points: 1
XTZ bought at 0.83835 on 2023-08-02 13:26:43.323248, quantity: 4.713, purchased usd: 1.0, quantity: 4.713, worth usd: $3.9511435500000003, buy_points: 1
ETH bought at 1831.21 on 2023-08-02 13:37:41.258151, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
DOGE bought at 0.074465 on 2023-08-02 13:37:42.910330, quantity: 52.49, purchased usd: 1.0, quantity: 52.49, worth usd: $3.9086678500000005, buy_points: 1
SHIB bought at 8.165e-06 on 2023-08-02 13:37:44.121860, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
ETC bought at 18.1045 on 2023-08-02 13:37:44.956153, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
LTC bought at 87.575 on 2023-08-02 13:37:46.917214, quantity: 0.01, purchased usd: 1.0, quantity: 0.01, worth usd: $0.87575, buy_points: 1
LINK bought at 7.42 on 2023-08-02 13:37:47.798932, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
COMP bought at 62.91 on 2023-08-02 13:37:49.377592, quantity: 0.012, purchased usd: 1.0, quantity: 0.012, worth usd: $0.7549199999999999, buy_points: 1
AVAX bought at 12.5125 on 2023-08-02 13:37:50.401908, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
XLM bought at 0.14593089 on 2023-08-02 13:37:51.430496, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
BCH bought at 227.155 on 2023-08-02 13:37:52.456274, quantity: 0.002041, purchased usd: 1.0, quantity: 0.002041, worth usd: $0.46362335499999996, buy_points: 1
XTZ bought at 0.8379 on 2023-08-02 13:37:53.285371, quantity: 4.713, purchased usd: 1.0, quantity: 4.713, worth usd: $3.9490227, buy_points: 1
ETH bought at 1831.95 on 2023-08-02 13:48:51.981036, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
DOGE bought at 0.074615 on 2023-08-02 13:48:53.513782, quantity: 52.49, purchased usd: 1.0, quantity: 52.49, worth usd: $3.91654135, buy_points: 1
SHIB bought at 8.18e-06 on 2023-08-02 13:48:54.520404, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
ETC bought at 18.1075 on 2023-08-02 13:48:55.371288, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
